fecha,casosConfirmados,casosDiarios,fallecimientos,nuevosFallecimientos
2020-03-13,0,0,0,0
2020-03-14,1,1,0,0
2020-03-15,1,0,0,0
2020-03-16,1,0,0,0
2020-03-17,5,4,0,0
2020-03-18,5,0,0,0
2020-03-19,14,9,0,0
2020-03-20,18,4,0,0
2020-03-21,19,1,0,0
2020-03-22,19,0,0,0
2020-03-23,23,4,0,0
2020-03-24,28,5,0,0
2020-03-25,31,3,0,0
2020-03-26,37,6,0,0
2020-03-27,42,5,0,0
2020-03-28,42,0,0,0
2020-03-29,53,11,1,1
2020-03-30,57,4,1,0
2020-03-31,78,21,2,1
2020-04-01,94,16,3,1
2020-04-02,99,5,4,1
2020-04-03,99,0,5,1
2020-04-04,99,0,5,0
2020-04-05,99,0,5,0
2020-04-06,100,1,5,0
2020-04-07,100,0,6,1
2020-04-08,107,7,6,0
2020-04-09,116,9,6,0
2020-04-10,151,35,6,0
2020-04-11,154,3,6,0
2020-04-12,178,24,7,1
2020-04-13,182,4,7,0
2020-04-14,192,10,7,0
2020-04-15,200,8,7,0
2020-04-16,205,5,11,4
2020-04-17,207,2,11,0
2020-04-18,217,10,11,0
2020-04-19,223,6,11,0
2020-04-20,232,9,11,0
2020-04-21,247,15,11,0
2020-04-22,273,26,11,0
2020-04-23,285,12,11,0
2020-04-27,314,29,11,0
2020-04-28,426,112,15,4
2020-04-29,432,6,15,0
2020-04-30,460,28,15,0
2020-05-01,490,30,16,1
2020-05-02,505,15,16,0
2020-05-06,519,14,18,2
2020-05-07,561,42,22,4
2020-05-08,565,4,22,0
2020-05-09,565,0,22,0
2020-05-10,569,4,24,2
2020-05-12,576,7,25,1
2020-05-13,579,3,25,0
2020-05-14,583,4,25,0
2020-05-15,657,74,27,2
2020-05-16,671,14,29,2
2020-05-17,693,22,29,0
2020-05-18,700,7,29,0
2020-05-19,730,30,29,0
2020-05-20,766,36,30,1
2020-05-21,775,9,31,1
2020-05-22,782,7,33,2
2020-05-23,793,11,33,0
2020-05-24,797,4,33,0
2020-05-25,799,2,33,0
2020-05-26,816,17,33,0
2020-05-27,819,3,33,0
2020-05-28,825,6,33,0
2020-05-29,847,22,33,0
2020-05-30,869,22,33,0
2020-05-31,869,0,33,0
2020-06-01,881,12,33,0
2020-06-02,900,19,33,0
2020-06-03,930,30,36,3
2020-06-04,956,26,36,0
2020-06-05,987,31,36,0
2020-06-06,1015,28,36,0
2020-06-07,1030,15,36,0
2020-06-08,1043,13,36,0
2020-06-09,1090,47,38,2
2020-06-10,1108,18,41,3
2020-06-11,1160,52,41,0
2020-06-12,1192,32,41,0
2020-06-13,1232,40,41,0
2020-06-14,1249,17,41,0
2020-06-15,1262,13,41,0
2020-06-16,1281,19,41,0
2020-06-17,1294,13,44,3
2020-06-18,1349,55,47,3
2020-06-19,1361,12,47,0
2020-06-20,1375,14,47,0
2020-06-21,1414,39,47,0
2020-06-22,1424,10,48,1
2020-06-23,1475,51,48,0
2020-06-24,1516,41,48,0
2020-06-25,1551,35,50,2
2020-06-26,1598,47,50,0
2020-06-27,1656,58,50,0
2020-06-28,1677,21,50,0
2020-06-29,1752,75,50,0
2020-06-30,1762,10,50,0
2020-07-01,1791,29,52,2
2020-07-02,1843,52,60,8
2020-07-03,1889,46,65,5
2020-07-04,1917,28,66,1
2020-07-05,1935,18,66,0
2020-07-06,1993,58,66,0
2020-07-07,2011,18,69,3
2020-07-08,2063,52,69,0
2020-07-09,2099,36,69,0
2020-07-10,2190,91,69,0
2020-07-11,2231,41,69,0
2020-07-12,2262,31,69,0
2020-07-13,2336,74,69,0
2020-07-14,2363,27,69,0
2020-07-15,2401,38,70,1
2020-07-16,2463,62,70,0
2020-07-17,2510,47,70,0
2020-07-18,2590,80,70,0
2020-07-19,2651,61,70,0
2020-07-20,2662,11,70,0
2020-07-21,2681,19,70,0
2020-07-22,2805,124,70,0
2020-07-23,2856,51,70,0
2020-07-24,2933,77,71,1
2020-07-25,2986,53,71,0
2020-07-26,3013,27,71,0
2020-07-27,3033,20,71,0
2020-07-28,3076,43,71,0
2020-07-29,3106,30,71,0
2020-07-30,3185,79,71,0
2020-07-31,3326,141,72,1
2020-08-01,3439,113,72,0
2020-08-02,3469,30,72,0
2020-08-03,3534,65,72,0
2020-08-04,3604,70,91,19
2020-08-05,3740,136,93,2
2020-08-06,3792,52,93,0
2020-08-07,3876,84,93,0
2020-08-08,3974,98,93,0
2020-08-09,4008,34,93,0
2020-08-10,4026,18,93,0
2020-08-11,4046,20,93,0
2020-08-12,4055,9,93,0
2020-08-13,4149,94,93,0
2020-08-14,4244,95,95,2
2020-08-15,4306,62,95,0
2020-08-16,4346,40,95,0
2020-08-17,4350,4,95,0
2020-08-18,4412,62,95,0
2020-08-19,4479,67,95,0
2020-08-20,4608,129,102,7
2020-08-21,4636,28,102,0
2020-08-22,4731,95,102,0
2020-08-23,4777,46,102,0
2020-08-24,4826,49,102,0
2020-08-25,4891,65,102,0
2020-08-26,5064,173,104,2
2020-08-27,5118,54,104,0
2020-08-28,5281,163,117,13
2020-08-29,5361,80,117,0
2020-08-30,5454,93,117,0
2020-08-31,5454,0,117,0
2020-09-01,5483,29,117,0
2020-09-02,5699,216,118,1
2020-09-03,5878,179,118,0
2020-09-04,6121,243,124,6
2020-09-05,6291,170,124,0
2020-09-06,6453,162,133,9
2020-09-07,6465,12,133,0
2020-09-08,6599,134,133,0
2020-09-09,6746,147,133,0
2020-09-10,6815,69,133,0
2020-09-11,6939,124,139,6
2020-09-12,7056,117,145,6
2020-09-13,7120,64,146,1
2020-09-14,7125,5,146,0
2020-09-15,7173,48,148,2
2020-09-16,7432,259,149,1
2020-09-17,7602,170,152,3
2020-09-18,7730,128,152,0
2020-09-19,7989,259,153,1
2020-09-20,8086,97,153,0
2020-09-21,8152,66,153,0
2020-09-22,8318,166,153,0
2020-09-23,8423,105,153,0
2020-09-24,8547,124,153,0
2020-09-25,8669,122,153,0
2020-09-26,8761,92,153,0
2020-09-27,8815,54,153,0
2020-09-28,8817,2,153,0
2020-09-29,8887,70,153,0
2020-09-30,8981,94,153,0
2020-10-01,9043,62,155,2
2020-10-02,9107,64,157,2
2020-10-03,9179,72,158,1
2020-10-04,9286,107,158,0
2020-10-05,9297,11,158,0
2020-10-06,9362,65,160,2
2020-10-07,9452,90,160,0
2020-10-08,9518,66,162,2
2020-10-09,9541,23,163,1
2020-10-10,9568,27,163,0
2020-10-11,9575,7,163,0
2020-10-12,9599,24,163,0
2020-10-13,9663,64,163,0
2020-10-14,9732,69,168,5
2020-10-15,9796,64,169,1
2020-10-16,9899,103,169,0
2020-10-17,9938,39,170,1
2020-10-18,9997,59,170,0
2020-10-19,10001,4,170,0
2020-10-20,10077,76,170,0
2020-10-21,10244,167,174,4
2020-10-22,10305,61,182,8
2020-10-23,10334,29,182,0
2020-10-24,10366,32,183,1
2020-10-25,10402,36,183,0
2020-10-26,10405,3,183,0
2020-10-27,10463,58,186,3
2020-10-28,10507,44,190,4
2020-10-29,10553,46,192,2
2020-10-30,10592,39,192,0
2020-10-31,10604,12,195,3
2020-11-01,10658,54,195,0
2020-11-02,10682,24,195,0
2020-11-03,10688,6,195,0
2020-11-04,10708,20,195,0
2020-11-05,10723,15,195,0
2020-11-06,10788,65,197,2
2020-11-07,10856,68,199,2
2020-11-08,10883,27,199,0
2020-11-09,10894,11,199,0
2020-11-10,10900,6,199,0
2020-11-11,10943,43,199,0
2020-11-12,10997,54,199,0
2020-11-13,11049,52,199,0
2020-11-14,11087,38,199,0
2020-11-15,11098,11,199,0
2020-11-16,11107,9,199,0
2020-11-17,11119,12,199,0
2020-11-18,11220,101,199,0
2020-11-19,11286,66,200,1
2020-11-20,11326,40,200,0
2020-11-21,11353,27,201,1
2020-11-22,11383,30,202,1
2020-11-23,11390,7,202,0
2020-11-24,11478,88,206,4
2020-11-25,11580,102,208,2
2020-11-26,11616,36,208,0
2020-11-27,11714,98,209,1
2020-11-28,11782,68,209,0
2020-11-29,11843,61,210,1
2020-11-30,11889,46,210,0
2020-12-01,11929,40,212,2
2020-12-02,12014,85,212,0
2020-12-03,12077,63,214,2
2020-12-04,12128,51,214,0
2020-12-05,12206,78,215,1
2020-12-06,12271,65,215,0
2020-12-07,12284,13,215,0
2020-12-08,12310,26,215,0
2020-12-09,12440,130,215,0
2020-12-10,12525,85,219,4
2020-12-11,12541,16,219,0
2020-12-12,12584,43,219,0
2020-12-13,12655,71,219,0
2020-12-14,12670,15,219,0
2020-12-15,12703,33,219,0
2020-12-16,12835,132,219,0
2020-12-17,12890,55,220,1
2020-12-18,12991,101,220,0
2020-12-19,13062,71,220,0
2020-12-20,13106,44,220,0
2020-12-21,13113,7,220,0
2020-12-22,13113,0,220,0
2020-12-23,13212,99,221,1
2020-12-24,13287,75,222,1
2020-12-25,13327,40,222,0
2020-12-26,13379,52,222,0
2020-12-27,13391,12,222,0
2020-12-28,13401,10,222,0
2020-12-29,13474,73,222,0
2020-12-30,13522,48,222,0
2020-12-31,13557,35,222,0
2021-01-01,13605,48,222,0
2021-01-02,13741,136,222,0
2021-01-03,13769,28,222,0
2021-01-04,13802,33,222,0
2021-01-05,13855,53,225,3
2021-01-06,13913,58,225,0
2021-01-07,14031,118,226,1
2021-01-08,14064,33,226,0
2021-01-09,14109,45,226,0
2021-01-10,14164,55,226,0
2021-01-11,14195,31,226,0
2021-01-12,14242,47,226,0
2021-01-13,14363,121,226,0
2021-01-14,14455,92,226,0
2021-01-15,14501,46,227,1
2021-01-16,14681,180,228,1
2021-01-17,14737,56,228,0
2021-01-18,14763,26,228,0
2021-01-19,14847,84,245,17
2021-01-20,14996,149,245,0
2021-01-21,15108,112,247,2
2021-01-22,15161,53,249,2
2021-01-23,15258,97,249,0
2021-01-24,15337,79,249,0
2021-01-25,15383,46,249,0
2021-01-26,15415,32,251,2
2021-01-27,15574,159,257,6
2021-01-28,15658,84,261,4
2021-01-29,15719,61,263,2
2021-01-30,15826,107,267,4
2021-01-31,15998,172,267,0
2021-02-01,16025,27,267,0
2021-02-02,16053,28,277,10
2021-02-03,16096,43,278,1
2021-02-04,16155,59,278,0
2021-02-05,16213,58,279,1
2021-02-06,16276,63,280,1
2021-02-07,16335,59,280,0
2021-02-08,16344,9,280,0
2021-02-09,16432,88,289,9
2021-02-10,16457,25,291,2
2021-02-11,16521,64,293,2
2021-02-12,16605,84,294,1
2021-02-13,16660,55,297,3
2021-02-14,16721,61,297,0
2021-02-15,16750,29,297,0
2021-02-16,16776,26,297,0
2021-02-17,16785,9,297,0
2021-02-18,16819,34,297,0
2021-02-19,16888,69,297,0
2021-02-20,16994,106,300,3
2021-02-21,17065,71,300,0
2021-02-22,17078,13,300,0
2021-02-23,17100,22,301,1
2021-02-24,17183,83,301,0
2021-02-25,17206,23,304,3
2021-02-26,17244,38,304,0
2021-02-27,17321,77,305,1
2021-02-28,17367,46,305,0
2021-03-01,17422,55,305,0
2021-03-02,17482,60,305,0
2021-03-03,17598,116,312,7
2021-03-04,17645,47,312,0
2021-03-05,17687,42,316,4
2021-03-06,17751,64,316,0
2021-03-07,17786,35,316,0
2021-03-08,17824,38,316,0
2021-03-09,17837,13,316,0
2021-03-10,17857,20,316,0
2021-03-11,17911,54,316,0
2021-03-12,18019,108,321,5
2021-03-13,18083,64,321,0
